time,volume,close,high,low,open
1586217600000,446.4583204497,7369.93,7450,7305.92,7330.01
1586221200000,149.4137327487,7349.29,7410,7336.71,7369.93
1586224800000,229.4571018367,7308.24,7370.8,7260.01,7350.65
1586228400000,65.186361505,7322.14,7325.67,7265,7308.24
1586232000000,106.1234060741,7254.96,7322.83,7233,7322.14
1586235600000,39.0328553883,7277,7295,7245.52,7254.97
1586239200000,61.7288610312,7304.69,7304.69,7258.74,7279.15
1586242800000,146.8810638015,7377.03,7384.96,7298.64,7304.68
1586246400000,119.0300987039,7364.07,7390,7320,7377.56
1586250000000,33.704717799,7370.89,7375.67,7340,7360.01
1586253600000,162.8188293009,7420,7436.68,7366.41,7374.06
1586257200000,89.4671673312,7384.16,7422.67,7361.6,7420
1586260800000,205.6241613857,7339.23,7452,7300.47,7384.16
1586264400000,60.5868742821,7350,7394.08,7331.66,7335
1586268000000,151.6861842245,7282.87,7350.89,7266,7350.89
1586271600000,61.266747023,7320,7347.29,7282.87,7282.87
1586275200000,38.040724266,7367.31,7386.8,7320.01,7321.98
1586278800000,20.0109524265,7349.52,7371.17,7320.19,7369.47
1586282400000,33.3433325059,7302.19,7353.24,7285,7350.05
1586286000000,39.18161509,7283.75,7359.74,7283.75,7304.69
1586289600000,357.1379724023,7120,7291.94,7080,7291.94
1586293200000,110.0950650355,7171,7221.38,7090,7123.57
1586296800000,63.3369210392,7171.44,7202.47,7133.72,7170.68
1586300400000,43.6077680169,7201.03,7214.96,7163.8,7173.72
1586304000000,79.064270012,7154.34,7211.51,7152.07,7200.07
1586307600000,49.5054505737,7160.22,7188.65,7154.34,7154.34
1586311200000,125.5005806711,7265.23,7280.96,7160,7163.36
1586314800000,336.57197789,7354.96,7387.4,7263.85,7265.01
1586318400000,134.2378665387,7353.39,7374.53,7326.66,7355.94
1586322000000,85.5277810804,7410.96,7412,7330.58,7355.76
1586325600000,180.5793028149,7314.15,7419.74,7288.32,7410.96
1586329200000,64.510181046,7315.95,7346.38,7302.07,7314.15
1586332800000,39.8117952703,7282.79,7328.93,7261.57,7328.93
1586336400000,70.148046945,7302.16,7325.14,7270.35,7289.15
1586340000000,101.6386538078,7249.76,7339,7216.9,7302.8
1586343600000,64.5537064584,7295.04,7299.45,7234.06,7244.86
